incident_date,incident_hour,day_of_week,month,year,latitude,longitude,bike_value
2026-07-28,20,Tuesday,7,2026,52.411959069663,13.226295578762864,1550
2026-07-25,13,Saturday,7,2026,52.59383182260854,13.725824347528983,650
2026-07-28,9,Tuesday,7,2026,52.61549370696931,13.654347155739174,799
2026-07-28,6,Tuesday,7,2026,52.47253292833368,13.07,2500
2026-07-27,13,Monday,7,2026,52.33,13.11507310341914,300
2026-07-25,15,Saturday,7,2026,52.632313009518725,13.585452959732764,563
2026-07-25,21,Saturday,7,2026,52.33,13.181306277107897,1625
2026-07-28,14,Tuesday,7,2026,52.33320340671053,13.148968978486339,1000
2026-07-28,5,Tuesday,7,2026,52.55194752984836,13.401047000002793,800
2026-07-25,15,Saturday,7,2026,52.60121400095477,13.645249959461976,586
2026-07-28,19,Tuesday,7,2026,52.43021276110353,13.36784667566532,1532
2026-07-28,3,Tuesday,7,2026,52.361234814537,13.270196010080845,350
2026-07-28,11,Tuesday,7,2026,52.38407988744673,13.239292004728618,1900
2026-07-24,19,Friday,7,2026,52.353781668414136,13.175469363395779,350
2026-07-27,20,Monday,7,2026,52.50832292947909,13.441496640539947,1320
2026-07-28,15,Tuesday,7,2026,52.43947859199519,13.312320541207507,2767
2026-07-27,22,Monday,7,2026,52.33761998261971,13.160334771312996,800
2026-07-27,18,Monday,7,2026,52.65159720446626,13.547462547267065,0
2026-07-27,18,Monday,7,2026,52.4822959511159,13.344141059448992,799
2026-07-27,18,Monday,7,2026,52.33,13.074247321480755,1
2026-07-27,19,Monday,7,2026,52.553722715738466,13.580627288631135,1099
2026-07-27,11,Monday,7,2026,52.424210676761575,13.344183312374339,989
2026-07-25,23,Saturday,7,2026,52.52672166673981,13.370459979008482,1300
2026-07-24,15,Friday,7,2026,52.51817396307837,13.66476012619237,410
2026-07-24,13,Friday,7,2026,52.43146317792665,13.28658933114222,546
2026-07-26,18,Sunday,7,2026,52.50264936394902,13.388547192071188,755
2026-07-27,11,Monday,7,2026,52.3933877597085,13.120472017229018,480
2026-07-25,17,Saturday,7,2026,52.52458517964721,13.59170526945244,1247
2026-07-25,10,Saturday,7,2026,52.427174938207955,13.328733235252201,467
2026-07-25,20,Saturday,7,2026,52.587652734441946,13.61155000454542,1800
2026-07-24,23,Friday,7,2026,52.33,13.155427169326153,400
2026-07-26,21,Sunday,7,2026,52.61257271201405,13.385182298580379,330
2026-07-26,14,Sunday,7,2026,52.57134908554804,13.463796512437144,2180
2026-07-26,19,Sunday,7,2026,52.48135580228325,13.606086227358427,1000
2026-07-27,15,Monday,7,2026,52.50989309735274,13.28519099866391,1799
2026-07-27,21,Monday,7,2026,52.529907809850634,13.166602057398157,875
2026-07-27,12,Monday,7,2026,52.54242326302756,13.342029191546692,1499
2026-07-26,17,Sunday,7,2026,52.33,13.212602863459837,584
2026-07-27,17,Monday,7,2026,52.33258829635669,13.07,0
2026-07-26,17,Sunday,7,2026,52.453645557459325,13.147309290870423,1101
2026-07-22,21,Wednesday,7,2026,52.53581652671906,13.49749037578415,3000
2026-07-26,20,Sunday,7,2026,52.41919097140731,13.1952935401455,230
2026-07-27,4,Monday,7,2026,52.603231702671465,13.534698955090963,150
2026-07-26,23,Sunday,7,2026,52.5583534764211,13.615862174663649,900
2026-07-25,8,Saturday,7,2026,52.40072373219691,13.315706689970257,1118
2026-07-26,11,Sunday,7,2026,52.42253663299655,13.538246234118123,685
2026-07-27,19,Monday,7,2026,52.33,13.106590611014145,0
2026-07-26,21,Sunday,7,2026,52.47147159243034,13.406630062316037,1499
2026-07-25,9,Saturday,7,2026,52.37481084090175,13.243389536896393,1899
2026-07-26,8,Sunday,7,2026,52.59922056519658,13.483529499062332,2402
2026-01-01,0,Thursday,1,2026,52.33,13.119509475272334,2000
2026-07-26,23,Sunday,7,2026,52.52239777566515,13.533515453309494,6582
2026-07-22,20,Wednesday,7,2026,52.65143702886431,13.717900037423718,700
2026-07-26,19,Sunday,7,2026,52.5963636644533,13.370573438721685,1649
2026-07-26,23,Sunday,7,2026,52.49940689244102,13.635704935638286,6000
2026-07-27,8,Monday,7,2026,52.62265818760774,13.660022915767703,2700
2026-07-24,10,Friday,7,2026,52.370711653050975,13.14456229090326,0
2026-07-24,15,Friday,7,2026,52.3412245674476,13.15020239740667,1799
2026-07-23,18,Thursday,7,2026,52.607705173713164,13.673500636058785,400
2026-07-24,7,Friday,7,2026,52.52755298477867,13.553719145143374,270
2026-07-26,13,Sunday,7,2026,52.42728915614206,13.3256602294205,1519
2026-07-26,11,Sunday,7,2026,52.4205901042495,13.239765969238974,550
2026-07-26,18,Sunday,7,2026,52.59883432015691,13.663704445116425,740
2026-07-24,3,Friday,7,2026,52.483075867262556,13.292072555537734,1148
2026-07-24,9,Friday,7,2026,52.42340653372605,13.180543706065338,570
2026-07-25,12,Saturday,7,2026,52.51650084080727,13.378147094377463,2147
2026-07-25,12,Saturday,7,2026,52.37530922505866,13.283965566961472,4200
2026-07-25,12,Saturday,7,2026,52.54385166873281,13.24039827360639,2299
2026-07-26,22,Sunday,7,2026,52.48029561002387,13.609134280965225,0
2026-07-25,21,Saturday,7,2026,52.55021074524822,13.509240060075294,3600
2026-07-26,22,Sunday,7,2026,52.58721586032423,13.539277393816604,1000
2026-07-25,0,Saturday,7,2026,52.46464959338675,13.256757560972636,350
2026-07-26,23,Sunday,7,2026,52.37256502400897,13.171068791940664,4149
2026-07-25,13,Saturday,7,2026,52.46699388748213,13.41268296274318,1492
2026-07-25,16,Saturday,7,2026,52.573349953267055,13.631793338970054,1059
2026-07-24,21,Friday,7,2026,52.42113176215279,13.28139713065786,2400
2026-07-24,14,Friday,7,2026,52.38588010485105,13.103776756515245,1050
2026-07-24,20,Friday,7,2026,52.49525077429825,13.345442664563636,890
2026-07-24,12,Friday,7,2026,52.44275452023696,13.336611991531491,3500
2026-07-27,13,Monday,7,2026,52.52907999377166,13.447901719862415,1266
2026-07-27,18,Monday,7,2026,52.52626497604383,13.484443877659437,5813
2026-07-27,16,Monday,7,2026,52.464443105941946,13.263536357518445,200
2026-07-27,12,Monday,7,2026,52.461981442096175,13.285716866862487,700
2026-07-27,13,Monday,7,2026,52.342150249453894,13.180780099133283,1400
2026-07-27,11,Monday,7,2026,52.54989094799015,13.608650462958678,2000
2026-07-27,8,Monday,7,2026,52.42766468025616,13.155124917077215,2000
2026-07-27,7,Monday,7,2026,52.42751851327167,13.252125236668432,2900
2026-07-27,8,Monday,7,2026,52.37585492030179,13.184978291894542,1400
2026-07-27,8,Monday,7,2026,52.530166369165435,13.459947183105523,800
2026-07-27,17,Monday,7,2026,52.58818324478942,13.448711098424573,1105
2026-07-27,18,Monday,7,2026,52.59522143055821,13.72365654708834,599
2026-07-27,14,Monday,7,2026,52.3640548690585,13.076375684192495,2400
2026-07-27,12,Monday,7,2026,52.360090367378305,13.118455345208508,1298
2026-07-27,3,Monday,7,2026,52.47321593983864,13.370471511651283,1000
2026-07-24,18,Friday,7,2026,52.39163884259936,13.122360232444457,300
2026-07-24,22,Friday,7,2026,52.5923708174494,13.448172339937699,1624
2026-07-24,18,Friday,7,2026,52.65877548180003,13.649929554720977,503
2026-07-25,20,Saturday,7,2026,52.54267394035771,13.429329133483789,6268
2026-07-25,18,Saturday,7,2026,52.37125019208163,13.144989161394836,619
2026-07-26,21,Sunday,7,2026,52.64549764856474,13.667440836613892,1159
2026-07-26,18,Sunday,7,2026,52.341286662170326,13.17993844822686,1064
2026-07-20,20,Monday,7,2026,52.51370831762442,13.46211648266986,300
2026-07-20,20,Monday,7,2026,52.390492847281614,13.186997061348004,412
2026-07-25,16,Saturday,7,2026,52.34824979824963,13.091280322389808,2800
2026-07-24,18,Friday,7,2026,52.50715785127184,13.421038195086451,3475
2026-07-25,23,Saturday,7,2026,52.33,13.158673474364196,799
2026-05-28,16,Thursday,5,2026,52.67,13.746697493734255,500
2026-07-26,22,Sunday,7,2026,52.33329913092501,13.178522717385379,6000
2026-07-26,10,Sunday,7,2026,52.383190569360615,13.319684184726693,1
2026-07-26,14,Sunday,7,2026,52.535305543675,13.444145034500865,50
2026-03-22,18,Sunday,3,2026,52.44328313469815,13.276278306032898,250
2026-07-22,22,Wednesday,7,2026,52.589005990852606,13.577269335189952,510
2026-06-24,4,Wednesday,6,2026,52.48871727546321,13.280166536196806,200
2026-07-26,20,Sunday,7,2026,52.46338766135765,13.334258329672588,150
2026-07-04,18,Saturday,7,2026,52.44593728142571,13.392485666315507,999
2026-07-22,16,Wednesday,7,2026,52.35389022790969,13.182624251630175,599
2026-07-20,10,Monday,7,2026,52.33,13.11365678044102,1799
2026-07-26,22,Sunday,7,2026,52.459155986670886,13.299472141153881,1000
2026-07-22,8,Wednesday,7,2026,52.49014713092489,13.388965066473446,0
2026-07-23,13,Thursday,7,2026,52.536625140160375,13.559755802116962,400
2026-07-22,13,Wednesday,7,2026,52.54173070791735,13.566672705290657,400
2026-07-25,16,Saturday,7,2026,52.364046572713775,13.176207335278587,100
2026-07-25,23,Saturday,7,2026,52.4090137723598,13.281811143536606,540
2026-07-25,16,Saturday,7,2026,52.503288980221676,13.38666160690694,0
2026-07-25,17,Saturday,7,2026,52.502984360574594,13.325390829883057,5000
2026-07-25,19,Saturday,7,2026,52.57004832855544,13.557498077808223,2000
2026-07-25,23,Saturday,7,2026,52.438652841231445,13.274260198660912,1750
2026-07-25,16,Saturday,7,2026,52.52754808471908,13.48542185868018,634
2026-07-25,13,Saturday,7,2026,52.50240249686788,13.404217097531914,660
2026-07-25,22,Saturday,7,2026,52.33129578292513,13.100431637712678,15
2026-07-25,22,Saturday,7,2026,52.39362681128117,13.329013710533728,2093
2026-07-25,16,Saturday,7,2026,52.33,13.07,800
2026-07-25,18,Saturday,7,2026,52.466727642414405,13.300841014104963,7500
2026-07-24,22,Friday,7,2026,52.3589453782799,13.07,2000
2026-07-25,16,Saturday,7,2026,52.67,13.572539553746529,3800
2026-07-24,18,Friday,7,2026,52.3795829811601,13.107374010899616,579
2026-07-25,15,Saturday,7,2026,52.40240307350182,13.296626339334145,258
2026-07-26,2,Sunday,7,2026,52.58364918960487,13.579978657419447,949
2026-07-26,11,Sunday,7,2026,52.33,13.123593711047658,2499
2026-07-26,13,Sunday,7,2026,52.49657434320038,13.396789749942105,1300
2026-07-26,11,Sunday,7,2026,52.42276706805399,13.236990644603077,2900
2026-07-25,16,Saturday,7,2026,52.540435928016905,13.408662905219016,2000
2026-07-25,21,Saturday,7,2026,52.33,13.07,1299
2026-07-26,19,Sunday,7,2026,52.40286732571206,13.100823952084092,0
2026-07-26,4,Sunday,7,2026,52.554036945650125,13.457399550355632,75
2026-07-26,11,Sunday,7,2026,52.36476199257715,13.118878948231826,500
2026-07-25,20,Saturday,7,2026,52.390285586104945,13.07,3749
2026-07-25,20,Saturday,7,2026,52.61910719958556,13.56884715307595,2119
2026-07-25,21,Saturday,7,2026,52.33,13.07,4400
2026-07-25,12,Saturday,7,2026,52.44170462409052,13.28147424699986,479
